x(dtmb),y(dtmb),z(dtmb),psi(dtmb),theta(dtmb),phi(dtmb)
1.513903e+03,4.468493e+02,-2.897552e+00,5.375719e-01,9.604873e-02,-2.637281e+00
1.522708e+03,4.517365e+02,-3.881646e+00,5.365564e-01,9.574512e-02,-2.591454e+00
1.531508e+03,4.566347e+02,-4.846709e+00,5.352881e-01,9.482102e-02,-2.547766e+00
1.540302e+03,4.615425e+02,-5.785039e+00,5.338429e-01,9.336456e-02,-2.506179e+00
1.549090e+03,4.664606e+02,-6.681705e+00,5.322377e-01,9.161398e-02,-2.466001e+00
1.557872e+03,4.713881e+02,-7.531114e+00,5.305373e-01,8.965166e-02,-2.427192e+00
1.566651e+03,4.763217e+02,-8.339562e+00,5.288691e-01,8.730410e-02,-2.390600e+00
1.575425e+03,4.812624e+02,-9.095591e+00,5.272250e-01,8.480039e-02,-2.355527e+00
1.584192e+03,4.862119e+02,-9.786808e+00,5.255831e-01,8.240520e-02,-2.321037e+00
1.592953e+03,4.911694e+02,-1.041282e+01,5.240037e-01,8.008165e-02,-2.287252e+00
1.601710e+03,4.961331e+02,-1.097786e+01,5.225744e-01,7.765810e-02,-2.254697e+00
1.610463e+03,5.011020e+02,-1.148236e+01,5.213506e-01,7.504522e-02,-2.223571e+00
1.619213e+03,5.060760e+02,-1.192440e+01,5.203634e-01,7.221807e-02,-2.193874e+00
1.627960e+03,5.110554e+02,-1.230241e+01,5.196386e-01,6.914653e-02,-2.165645e+00
1.636704e+03,5.160401e+02,-1.261544e+01,5.191993e-01,6.578305e-02,-2.138965e+00
1.645446e+03,5.210305e+02,-1.286294e+01,5.190651e-01,6.206734e-02,-2.113938e+00
1.654185e+03,5.260268e+02,-1.304450e+01,5.192502e-01,5.793871e-02,-2.090671e+00
1.662921e+03,5.310297e+02,-1.315978e+01,5.197641e-01,5.333548e-02,-2.069272e+00
1.671654e+03,5.360399e+02,-1.320828e+01,5.206114e-01,4.820236e-02,-2.049828e+00
1.680385e+03,5.410583e+02,-1.318930e+01,5.217917e-01,4.249266e-02,-2.032403e+00
1.689112e+03,5.460860e+02,-1.310194e+01,5.233015e-01,3.616912e-02,-2.017039e+00
1.697835e+03,5.511240e+02,-1.294507e+01,5.251343e-01,2.920455e-02,-2.003757e+00
1.706554e+03,5.561737e+02,-1.271738e+01,5.272818e-01,2.158215e-02,-1.992552e+00
1.715268e+03,5.612364e+02,-1.241736e+01,5.297343e-01,1.329575e-02,-1.983397e+00
1.723975e+03,5.663133e+02,-1.204331e+01,5.324815e-01,4.349719e-03,-1.976242e+00
1.732676e+03,5.714058e+02,-1.159341e+01,5.355126e-01,-5.241274e-03,-1.971017e+00
1.741370e+03,5.765152e+02,-1.106567e+01,5.388164e-01,-1.545264e-02,-1.967630e+00
1.750054e+03,5.816425e+02,-1.045802e+01,5.423817e-01,-2.625046e-02,-1.965967e+00
1.758729e+03,5.867890e+02,-9.769079e+00,5.461933e-01,-3.756402e-02,-1.965833e+00
1.767394e+03,5.919555e+02,-8.997392e+00,5.502314e-01,-4.930514e-02,-1.967006e+00
1.776047e+03,5.971417e+02,-8.152077e+00,5.544498e-01,-6.110680e-02,-1.968982e+00
1.784687e+03,6.023467e+02,-7.246452e+00,5.587689e-01,-7.249416e-02,-1.971232e+00
1.793315e+03,6.075701e+02,-6.291347e+00,5.631203e-01,-8.314481e-02,-1.973729e+00
1.801930e+03,6.128102e+02,-5.307616e+00,5.674113e-01,-9.254209e-02,-1.976345e+00
1.810531e+03,6.180673e+02,-4.305568e+00,5.715594e-01,-1.004162e-01,-1.979084e+00
1.819119e+03,6.233414e+02,-3.296412e+00,5.754885e-01,-1.065108e-01,-1.982067e+00
1.827691e+03,6.286348e+02,-2.277225e+00,5.791301e-01,-1.108118e-01,-1.985010e+00
1.836250e+03,6.339488e+02,-1.250958e+00,5.824329e-01,-1.132653e-01,-1.987887e+00
1.844794e+03,6.392840e+02,-2.248810e-01,5.853617e-01,-1.138264e-01,-1.990843e+00
1.853324e+03,6.446395e+02,7.850154e-01,5.879001e-01,-1.124735e-01,-1.994223e+00
1.861841e+03,6.500142e+02,1.763628e+00,5.900357e-01,-1.092604e-01,-1.998342e+00
